url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,label
entwickler.de,187275,187275,4,0.13,1.1,TRUE
shidax.co.jp,189496,189496,2.9,0.22,3,FALSE
unae.edu.ec,293873,293873,1.4,0.19,4.8,FALSE
twfhcsec.com.tw,203008,203008,2.6,0.22,3.1,FALSE
advance-rp.ru,16191,16191,32.9,14,15.6,FALSE
compassmanager.com,211069,211069,2.3,0.25,4,FALSE
onthebox.com,263483,263483,2.5,0.09,1.3,FALSE
alindas.com,282004,282004,2,0.11,2,FALSE
divisioneconsumer.it,172289,172289,3.2,0.27,3.1,FALSE
swalif.net,87253,87253,9.7,0.37,1.4,FALSE
indeed.com.my,66308,66308,11,0.69,2.3,FALSE
notaterapia.com.br,212731,212731,3.3,0.11,1.3,FALSE
juniorpussy.com,350934,350934,1.9,0.05,1,FALSE
freeenglishlessonplans.com,219723,219723,3.1,0.11,1.3,FALSE
mixsoftflash.review,166357,166357,4.7,0.14,1.1,FALSE
perfumeriasabina.com,305050,305050,1.5,0.15,3.8,TRUE
danawa.com,1593,1593,363,65.4,6.61,FALSE
bestille.no,287401,287401,1.9,0.11,2.1,FALSE
internetbs.net,82964,82964,7.8,0.69,3.2,FALSE
medizzy.com,236834,236834,2.9,0.1,1.2,FALSE
buchhaus.ch,319384,319384,1.5,0.12,3.1,TRUE
mycloudsports.ml,111256,111256,8.1,0.23,1.1,FALSE
moviemag.ir,39654,39654,20,1.22,2.2,FALSE
impacta.edu.br,307684,307684,1.4,0.17,4.4,FALSE
mensagens10.com.br,88336,88336,8.5,0.45,1.9,FALSE
sexonskype.ru,237141,237141,1.6,0.41,9.4,FALSE
video4stream.com,86055,86055,11,0.31,1,FALSE
dropshipdirect.com,296174,296174,1.5,0.17,4.2,TRUE
blazersedge.com,73805,73805,11,0.55,1.9,FALSE
spp.io,194480,194480,2.7,0.24,3.4,FALSE
gazzamercato.it,221813,221813,3.3,0.1,1.1,FALSE
sofratlepb.ru,121344,121344,7.3,0.2,1,FALSE
behindthemixer.com,209385,209385,3.1,0.13,1.5,FALSE
ivideostar.com,161893,161893,4,0.21,1.9,FALSE
sms-online.pro,223951,223951,2.5,0.16,2.3,FALSE
goldennet.com.tw,280675,280675,1.3,0.38,11,FALSE
craftbeer.com,99545,99545,8.2,0.32,1.4,FALSE
ditophair.com,216639,216639,2,0.65,10,TRUE
anekatempatwisata.com,222949,222949,3.1,0.11,1.3,FALSE
autoblog.gr,93182,93182,7.4,0.49,2.4,FALSE
webna.ir,164680,164680,4.1,0.19,1.7,FALSE
jkl123.com,282317,282317,1.9,0.11,2.2,FALSE
cbussuper.com.au,208738,208738,2.6,0.2,2.9,FALSE
astucesnaturelles.net,215185,215185,2.9,0.14,1.8,FALSE
thisisfutbol.com,41527,41527,23,0.87,1.4,FALSE
masibikes.com,331008,331008,1.2,0.16,4.9,TRUE
mj.pt,42259,42259,17,1.4,3,FALSE
au.webs.com,290656,290656,2.3,0.08,1.2,FALSE
her.ie,50041,50041,16,0.9,2,FALSE
putlockerfit.net,258086,258086,2.4,0.1,1.6,FALSE
letsmeetup.com,289623,289623,1.4,0.2,5.1,FALSE
fancygrid.com,250963,250963,1,0.41,10,FALSE
loansmonitor.com,98180,98180,9.5,0.27,1,FALSE
mesbagages.com,56921,56921,11,1.3,4.3,FALSE
phasicfun.com,157405,157405,5.1,0.15,1.1,FALSE
money-lifehack.com,95528,95528,9.6,0.29,1.1,FALSE
mudah.com,327751,327751,1.8,0.07,1.5,FALSE
ferendum.com,312973,312973,1.9,0.08,1.5,FALSE
shuttercounter.com,259183,259183,2.3,0.11,1.7,FALSE
haining.cn,162950,162950,2.9,0.47,6,FALSE
aspensnowmass.com,95962,95962,10.83,0.87,2.96,FALSE
fastestofall.com,74364,74364,13,0.38,1.1,FALSE
terazkrosno.pl,215991,215991,1.9,0.37,6.9,FALSE
nsxxtv.com,249421,249421,2,0.19,4,FALSE
live-tv-channels.net,323468,323468,1.7,0.08,1.7,FALSE
meridionews.it,143174,143174,5.5,0.18,1.2,FALSE
grimco.com,128777,128777,4,0.54,4.9,FALSE
monsterleads.pro,125958,125958,4.5,0.44,3.6,FALSE
b2bgateway.net,173586,173586,2.3,0.75,12,FALSE
j.gs,274291,274291,2.3,0.09,1.4,FALSE
schuurman-schoenen.nl,327549,327549,1.4,0.13,3.5,TRUE
beauty-around.com,44990,44990,19,0.9,1.7,FALSE
i-profs.fr,256437,256437,1.7,0.22,4.7,FALSE
ltcminer.com,51292,51292,18,0.65,1.3,FALSE
enjiner.com,191179,191179,4.1,0.11,1,FALSE
lbc.edu,235100,235100,1.9,0.24,4.5,FALSE
ajkerdeal.com,34498,34498,19.8,2.23,4.13,TRUE
indiaretailing.com,203936,203936,3,0.15,1.9,FALSE
stadtsparkasse-bocholt.de,337491,337491,1.2,0.17,5.3,FALSE
filmcee.com,120884,120884,6,0.28,1.7,FALSE
playdb.co.kr,200086,200086,2.8,0.19,2.5,FALSE
acatoday.org,333640,333640,1.6,0.08,1.9,FALSE
vientosur.info,320398,320398,1.6,0.1,2.3,FALSE
aszw.org,38739,38739,15,3.2,7.8,FALSE
vanniyarmatrimony.com,145617,145617,3.8,0.37,3.5,FALSE
sneakerboy.com,212524,212524,2.6,0.18,2.6,TRUE
91jj.info,307669,307669,2,0.08,1,FALSE
liodenwiki.wikidot.com,317483,317483,1.5,0.11,2.6,FALSE
golden-hour.com,330082,330082,2.1,0.06,1,FALSE
ntsb.gov,93137,93137,8.2,0.4,1.8,FALSE
proedinc.com,343251,343251,1.5,0.09,2.1,TRUE
borderconnect.com,266772,266772,1.4,0.33,8.7,FALSE
payschools.com,136737,136737,3.7,0.54,5.4,FALSE
wbnsouadmissions.com,51096,51096,13.1,1.32,3.7,FALSE
zimperium.com,352736,352736,1.6,0.07,2,FALSE
lovetaza.com,140167,140167,4.6,0.28,2.2,FALSE
daihatsu.co.id,230603,230603,2.2,0.18,3,FALSE
kartologia.ru,247379,247379,2.9,0.09,1.1,FALSE
itemnoob.com,315784,315784,1.4,0.14,3.7,FALSE
careercarver.jp,57521,57521,9.4,2,7.9,FALSE
clarku.edu,60275,60275,12,0.82,2.5,FALSE
learnroute.ir,280840,280840,2.5,0.07,1.1,FALSE
goverla.ua,100446,100446,9.3,0.25,1,FALSE
driverpack.io,20952,20952,51.6,1.65,1.2,FALSE
externalbsnlexam.com,273838,273838,2.3,0.09,1.4,FALSE
go.vn,96670,96670,5,1.21,8.8,FALSE
labkovskiy.ru,198204,198204,2.8,0.21,2.8,FALSE
quantum-espresso.org,306403,306403,1.6,0.12,2.8,FALSE
tech2tech.fr,118436,118436,6.7,0.25,1.4,FALSE
lg-firmwares.com,50915,50915,14,1.2,3.2,FALSE
notesandprojects.com,146942,146942,4.3,0.27,2.3,FALSE
hctcdmqp.com,235113,235113,2.8,0.11,1.4,FALSE
rmsauto.ru,351178,351178,1.2,0.14,4.2,TRUE
rentalleaseagreements.com,192484,192484,3.2,0.17,1.9,FALSE
mycarle.com,350734,350734,1.2,0.13,3.9,FALSE
southeastbank.com.bd,225488,225488,2.2,0.21,3.6,FALSE
modrykonik.sk,14465,14465,49.5,5.89,4.36,FALSE
pi-pe.co.jp,310833,310833,2,0.08,1,FALSE
gamebro.cz,321894,321894,1.8,0.08,1.6,FALSE
leehee.co.kr,197753,197753,2.9,0.19,2.4,TRUE
i-article01.com,248115,248115,2.6,0.1,1,FALSE
sex021.com,54222,54222,9.9,2.37,8.8,FALSE
soundersfc.com,99873,99873,7.4,0.38,1.9,FALSE
statenews.com,334326,334326,1.6,0.09,2,FALSE
mol.go.th,137773,137773,4.5,0.3,2.4,FALSE
expatwoman.com,5078,5078,249.62,17.64,2.59,FALSE
hmi.co.jp,275002,275002,2,0.15,3,FALSE
armeniatv.am,336573,336573,1.6,0.08,1.8,FALSE
nctreasurer.com,325685,325685,1.7,0.08,1.8,FALSE
code-industry.net,151761,151761,4.6,0.21,1.7,FALSE
genpt.net,131827,131827,2.8,1.8,24,FALSE
tunisair.com,85247,85247,7.8,0.62,2.9,FALSE
partizan69-balt.livejournal.com,344170,344170,1.9,0.06,1.2,FALSE
noahgroup.com,177448,177448,3,0.27,3,FALSE
ouc.edu.cn,24805,24805,26,4.1,5.8,FALSE
xiaomiui.pro,255625,255625,1.8,0.21,4,FALSE
hdasianporn.com,97352,97352,7.5,0.4,2,FALSE
snappytv.com,136692,136692,3.9,0.44,4.1,FALSE
trentbarton.co.uk,185071,185071,3,0.22,2.7,FALSE
cybernog.com,316136,316136,1.9,0.08,1.4,FALSE
richmonkey.biz,166724,166724,3.3,0.29,3.3,FALSE
encuentraprecios.es,131643,131643,5.1,0.28,2,TRUE
dokucraft.co.uk,189172,189172,3.1,0.2,2.4,FALSE
cercoincontri.com,212820,212820,2.4,0.21,3.3,FALSE
sqlteam.com,77477,77477,12,0.37,1.1,FALSE
atoupload.com,59258,59258,8.4,2.7,12,FALSE
flairair.ca,63418,63418,9.4,1.28,5,FALSE
catholic.sg,234639,234639,2.5,0.13,2,FALSE
kurer-sreda.ru,114594,114594,6.2,0.32,1.9,FALSE
trekuniversity.com,128611,128611,3.8,0.66,6.4,FALSE
usedregina.com,302560,302560,1.4,0.17,4.4,FALSE
mypornvideo.org,179183,179183,4.5,0.12,1,FALSE
sistemaemprendedor.gob.mx,153217,153217,3.3,0.41,4.5,FALSE
ses.es,211007,211007,2.2,0.28,4.6,FALSE
hyls.ru,254290,254290,1.9,0.18,3.6,FALSE
elprocus.com,20228,20228,49.8,1.92,1.41,FALSE
px-lab.com,86789,86789,6.5,0.91,5.1,FALSE
lcdtvthailand.com,86920,86920,9.2,0.41,1.6,FALSE
cingolanibikeshop.com,265207,265207,1.8,0.16,3.1,TRUE
hkfyg.org.hk,158106,158106,3.3,0.38,4.2,FALSE
pekbjpnrowdiness.review,270931,270931,2.7,0.07,1,FALSE
eiger.io,231527,231527,2.4,0.16,2.4,FALSE
weldingweb.com,104776,104776,7.1,0.35,1.8,FALSE
repto.com.bd,162825,162825,2.7,0.6,8.3,FALSE
docurated.com,261798,261798,2.1,0.12,2.1,FALSE
creativ-girls.de,325387,325387,0.82,0.87,39,TRUE
partner-s.net,212162,212162,2.6,0.18,3,FALSE
nrel.gov,42602,42602,19,1.1,2,FALSE
urvy.org,215811,215811,2.7,0.15,2.1,FALSE
esmag.ir,355766,355766,1.2,0.13,4.1,FALSE
leeds.ac.uk,12426,12426,60,6.31,3.9,FALSE
lecourrier.vn,280864,280864,1.7,0.15,3.3,FALSE
corriereromagna.it,154677,154677,4.3,0.22,1.8,FALSE
ussquash.com,254621,254621,2.1,0.14,2.4,FALSE
seab.gov.sg,205254,205254,3.2,0.14,1.6,FALSE
providentnjolb.com,158664,158664,3.4,0.34,3.7,FALSE
rozclinic.com,339428,339428,1.6,0.08,1.9,FALSE
pajakbro.com,355767,355767,1.7,0.06,1.4,FALSE
autorus.ru,96224,96224,6.19,0.66,3.9,TRUE
bankdariirani.ir,243682,243682,2,0.18,3.3,FALSE
rnt.co.jp,143537,143537,2,3,50,FALSE
churchtimes.co.uk,357838,357838,1.6,0.06,1.4,FALSE
chipo.vn,279297,279297,1.4,0.26,6.7,TRUE
fanuc.eu,261472,261472,2.2,0.11,1.9,FALSE
tenwheel.com,350943,350943,1.5,0.08,2.1,FALSE
magazinedelledonne.it,239218,239218,3,0.09,1.1,FALSE
ghalebkade.com,199117,199117,2.1,0.47,8.5,TRUE
program4pc.com,276560,276560,2.3,0.08,1.3,FALSE
nakedkidy.tumblr.com,253084,253084,1.9,0.19,3.7,FALSE
arizer.com,179159,179159,3,0.27,3.4,FALSE
mycuco.com,52620,52620,9.6,3.1,12,FALSE
raetsel-contest.de,304302,304302,2.3,0.06,1,FALSE
nobilis.cz,339270,339270,1,0.25,8.9,TRUE
theplace.click,79623,79623,7.6,0.86,4.2,FALSE
icethetics.co,191372,191372,3.1,0.19,2.3,FALSE
mycrypto.market,255746,255746,2.1,0.14,2.5,FALSE
halkbank.com.tr,9964,9964,77.4,7.48,3.55,FALSE
games-maps.ru,293583,293583,2.1,0.08,1.4,FALSE
asiafoundation.org,188049,188049,3.5,0.16,1.7,FALSE
profiteertoday.com,149429,149429,4.6,0.22,1.7,FALSE
scorecardresearch.com,157874,157874,4.9,0.16,1.2,FALSE
rds.it,102383,102383,8.8,0.26,1.1,FALSE
grote.com,334820,334820,1.3,0.13,3.6,FALSE
success88888.com,316394,316394,1.9,0.07,1.4,FALSE
cpap.com,97607,97607,6.2,0.62,3.7,TRUE
corelle.com,173110,173110,3,0.3,3.7,TRUE
handyhardcore.com,94492,94492,7.7,0.43,2,FALSE
kickscrew.com,235674,235674,2,0.21,3.7,TRUE
lincolnshire.gov.uk,317393,317393,1.8,0.08,1.8,FALSE
textiledeal.in,345700,345700,1.2,0.15,4.7,TRUE
entamealive.com,125734,125734,6.7,0.21,1.1,FALSE
spirulinablue.co.jp,247015,247015,2,0.27,6,FALSE
fractalenlightenment.com,236823,236823,2.9,0.1,1.2,FALSE
xn--malasaa-9za.com,162775,162775,2.5,0.76,11,FALSE
inewsletter.co,289208,289208,2,0.1,1.8,FALSE
usal.edu.ar,214235,214235,2.5,0.18,2.7,FALSE
smartcloudpt.pt,218463,218463,2.7,0.14,1.9,FALSE
sodu.cc,11425,11425,62,8.16,4.8,FALSE
doveserver.com,125350,125350,3.7,0.8,7.8,FALSE
putlockerhub.io,134123,134123,4.6,0.33,2.7,FALSE
greenclimate.fund,204525,204525,2.6,0.2,2.8,FALSE
r12a.github.io,177523,177523,3.9,0.16,1.5,FALSE
alphamrkt.com,246318,246318,3,0.08,1,FALSE
pais.co.il,60835,60835,12.2,0.78,2.4,FALSE
goal.com,637,637,1080,76.1,2.59,FALSE
directaworld.it,277724,277724,1.2,0.51,16,FALSE
gsmfans.net,292387,292387,1.9,0.1,2,FALSE
isjonahhillfat.com,260314,260314,2.8,0.08,1,FALSE
ditp.go.th,255860,255860,2.1,0.13,2.3,FALSE
elizabetharden.com,175151,175151,3.4,0.22,2.4,TRUE
aegconnect.com,354680,354680,1.7,0.06,1.3,FALSE
tottus.com.pe,110504,110504,5,0.62,4.5,TRUE
amazfitcentral.com,179968,179968,3.2,0.23,2.7,FALSE
britishcouncil.in,43877,43877,18.3,1.09,2.2,FALSE
magiamgia.com,256656,256656,3.4,0.19,2.03,FALSE
webteb.com,11131,11131,88.8,3.87,1.6,FALSE
ymeuniverse.com,155338,155338,3.3,0.39,4.4,TRUE
pavon.kz,173914,173914,3.6,0.2,2,FALSE
agria.se,234909,234909,2.3,0.15,2.5,FALSE
artiway.com.tr,122205,122205,4.9,0.41,3,FALSE
xn--ccke7dvhv10nps6e.com,348488,348488,2,0.08,2,FALSE
lifesizecloud.com,106994,106994,6.5,0.38,2.2,FALSE
cursos-academicos.com,357467,357467,1.7,0.06,1.4,FALSE
intratext.com,297801,297801,1.4,0.21,5.6,FALSE
dailyleech.com,146737,146737,4.1,0.29,2.6,FALSE
internapcdn.net,89875,89875,9.5,0.35,1.3,FALSE
dailypharm.com,154524,154524,3.7,0.3,2.9,FALSE
todotech.com,327282,327282,1.9,0.07,1.3,FALSE
amanmarket.com,319594,319594,1.9,0.07,1.3,TRUE
busik24.com,97466,97466,7.4,0.42,2.1,FALSE
sxe-injected.com,358771,358771,1.7,0.06,1.4,FALSE
nvv.de,274785,274785,1.7,0.15,3.3,FALSE
couponese.com,329883,329883,2,0.06,1.1,FALSE
vaniercollege.qc.ca,160722,160722,3.3,0.34,3.8,FALSE
swproject.ru,335462,335462,1.1,0.24,8.1,FALSE
inplay.ml,257134,257134,1.3,0.61,18,FALSE
crestbook.com,109430,109430,5.9,0.43,2.7,FALSE
junaroad.com,348017,348017,1,0.21,7.4,FALSE
cavediver.net,328660,328660,1.1,0.23,7.7,FALSE
synology-forum.nl,273691,273691,2.2,0.1,1.6,FALSE
pornoxbr.com,222326,222326,1.9,0.36,7,FALSE
flashcardfox.com,264869,264869,1.4,0.34,8.9,FALSE
enkirelations.com,131626,131626,6.4,0.19,1.1,FALSE
watson.de,23964,23964,38.6,1.81,1.7,FALSE
edp.pt,51824,51824,13,1.16,3.2,FALSE
jtrip.co.jp,107534,107534,6.5,0.37,2.1,FALSE
mobilenet.cz,75189,75189,10,0.56,2.1,FALSE
mangahub.io,40213,40213,18,1.52,3.1,FALSE
kojaro.com,7442,7442,120,7.27,2.23,FALSE
hdtvku.id,211829,211829,2.6,0.18,2.5,FALSE
confiraconcursos.com.br,135561,135561,5.4,0.23,1.6,FALSE
icarros.com.br,12193,12193,65.3,5.46,3.07,FALSE
adspoiler.com,63345,63345,8,2.23,10,FALSE
normaculta.com.br,35790,35790,28,0.98,1.3,FALSE
jinair.com,48117,48117,12,2,5.9,FALSE
freepornx.org,48890,48890,15,1.15,2.8,FALSE
apollo.com,327101,327101,1.6,0.09,2,FALSE
nkdev.info,119031,119031,4.9,0.46,3.5,TRUE
marshall.co.uk,273923,273923,1.8,0.15,3.1,FALSE
alldebrid.fr,23560,23560,40,1.8,1.6,FALSE
landshutladies.de,256937,256937,1.5,0.35,8.6,FALSE
trafficbot.uk,77236,77236,8,0.85,3.9,FALSE
grundstoff.net,208976,208976,2.3,0.27,4.3,TRUE
play-games.com.ua,238292,238292,2,0.21,3.8,FALSE
elsewherebrooklyn.com,188449,188449,3.1,0.2,2.4,FALSE
dataprotection.ie,351943,351943,1.6,0.07,1.5,FALSE
elli.com,300458,300458,1.8,0.1,2.1,TRUE
lulus.com,8643,8643,74.2,14.8,7.32,TRUE
geosociety.org,140479,140479,3.9,0.39,3.6,FALSE
huckmag.com,122047,122047,6.9,0.22,1.1,FALSE
sacredbonesrecords.com,307342,307342,1.7,0.1,2,TRUE
buro247.me,21234,21234,48.1,1.77,1.35,FALSE
deutschebahngroup.careers,72469,72469,8.8,0.88,3.7,FALSE
grannysexclub.com,108789,108789,6.7,0.33,1.8,FALSE
robtopgames.com,345344,345344,1.9,0.06,1.1,FALSE
ozelkuvvet.com,268453,268453,1.7,0.18,3.9,FALSE
shespeaks.com,194758,194758,2.7,0.25,3.4,FALSE
stradivarius.com,11752,11752,63.5,6.78,3.92,FALSE
click2sell.eu,210777,210777,2.2,0.27,4.4,FALSE
win2.cn,149153,149153,5.2,0.18,1.2,FALSE
zpmtewaouelegantly.review,241165,241165,3.1,0.08,1,FALSE
kln.ac.lk,66100,66100,8.99,1.23,5.02,FALSE
deerchao.net,225072,225072,3.3,0.09,1,FALSE
cic.org.vn,313507,313507,1.3,0.19,5.5,FALSE
folkuniversitetet.se,142816,142816,3.8,0.41,4,FALSE
axn.es,166574,166574,3.9,0.2,1.9,FALSE
24seksvideo.com,346537,346537,1.5,0.09,2.1,FALSE
xn--g1abqdhx.xn--p1ai,342900,342900,1.1,0.21,7,FALSE
econologie.com,170880,170880,4.5,0.14,1.2,FALSE
yuden.co.jp,226482,226482,2.4,0.16,2,FALSE
centralepneus.fr,165921,165921,3.2,0.32,3.7,FALSE
expresschina.com.au,289878,289878,2,0.11,2,FALSE
faasafety.gov,152397,152397,3.8,0.3,2.9,FALSE
pdinfo.com,300585,300585,1.6,0.14,3.2,FALSE
solaris-store.com,326254,326254,1.4,0.11,2.9,TRUE
moderne-hausfrau.de,110919,110919,4.8,0.69,5.3,TRUE
sosiski.com,311673,311673,2,0.07,1.3,FALSE
ahashare.com,328095,328095,1.6,0.08,1.9,FALSE
chromedino.com,160341,160341,4.7,0.17,1.3,FALSE
polza-vred.su,163250,163250,4.7,0.16,1.2,FALSE
pcgeeks.co,257058,257058,1.7,0.22,4.8,FALSE
dealseekingmom.com,334060,334060,1.7,0.08,1.7,FALSE
realtime.it,213107,213107,3.1,0.13,1.5,FALSE
roblox.com,114,114,4455,1151,9.48,FALSE
teleradtech.com,243705,243705,1.6,0.36,8.3,FALSE
bestrecipesww.com,267103,267103,2.3,0.09,1.5,FALSE
brookson.co.uk,359708,359708,1.3,0.1,2.8,FALSE
tamuct.edu,276198,276198,1.4,0.32,8.6,FALSE
directd.com.my,131529,131529,4.1,0.48,4.3,TRUE
ulvr.edu.ec,336475,336475,1.1,0.22,7.7,FALSE
fight-league.com,267734,267734,2.1,0.11,2,FALSE
zaycev.download,227130,227130,3,0.11,1.3,FALSE
bemob.com,54313,54313,9.1,3.13,13,FALSE
moirebenok.ua,160180,160180,4.8,0.16,1.2,FALSE
activar-windows.com,288370,288370,1.8,0.12,2.4,FALSE
webcampornoxxx.net,251775,251775,2.1,0.14,2.5,FALSE
almezannews.com,239759,239759,4.22,0.13,1.17,FALSE
pickmyphotographer.com,138124,138124,4.5,0.31,2.5,FALSE
tinhannhat.info,108625,108625,7.7,0.26,1.3,FALSE
e2save.com,299125,299125,1.7,0.12,2.6,FALSE
ubeeinteractive.com,278005,278005,2.1,0.1,1.8,FALSE
pearsonpte.com,43417,43417,17,1.31,2.8,FALSE
bestbus.in,345436,345436,0.95,0.31,12,FALSE
chiarezza.it,286124,286124,2.2,0.08,1.3,FALSE
aparcandgo.com,284090,284090,1.7,0.14,3.1,FALSE
churchmediadrop.com,271688,271688,1.4,0.3,7.8,FALSE
rijal09.com,242023,242023,3,0.09,1.1,FALSE
iranheadphone.com,82050,82050,7.6,0.77,3.8,TRUE
nikon.ca,204540,204540,2.8,0.18,2.3,FALSE
javccdd.net,171018,171018,2.8,0.4,5.3,FALSE
csgetto.com,108284,108284,6.6,0.36,2,FALSE
articlesng.com,299401,299401,2.1,0.08,1.3,FALSE
unisbank.ac.id,345833,345833,1.5,0.08,2,FALSE
gaypage.com,60898,60898,9.5,1.49,5.7,FALSE
monasterodibose.it,162205,162205,3.9,0.22,2.1,FALSE
jadvalyab.com,143624,143624,4.8,0.22,1.7,FALSE
renesasrulz.com,300104,300104,1.9,0.09,2,FALSE
sxu.edu.cn,169681,169681,3.3,0.26,2.9,FALSE
rossstores.com,65028,65028,12,0.62,1.8,FALSE
flashmesometits.tumblr.com,243451,243451,1.7,0.3,6.6,FALSE
nullzerepmods.com,331831,331831,1.6,0.09,2,FALSE
sw-condor.com,248569,248569,2.3,0.13,2.1,FALSE
danfeonline.com.br,54278,54278,13,1.09,3.1,FALSE
lopinion.fr,74567,74567,12,0.42,1.3,FALSE
miuristruzione.it,194888,194888,3.4,0.15,1.6,FALSE
jog.fm,121227,121227,5.3,0.35,2.4,FALSE
letrasdemusicas.com.br,316964,316964,1.8,0.08,2,FALSE
ipanda.com,135224,135224,4.1,0.41,3.6,FALSE
tvmienphi.biz,127800,127800,5.1,0.32,2.3,FALSE
cmath.fr,235296,235296,2.4,0.15,2.3,FALSE
grnewsletters.com,168348,168348,4.3,0.16,1.3,FALSE
recomhub.com,89131,89131,9.7,0.34,1.3,FALSE
freemusicdownloads.world,29189,29189,27,1.94,2.6,FALSE
games4win.com,231484,231484,2.6,0.13,1.8,FALSE
jinja-gosyuin.com,196504,196504,3.3,0.15,2,FALSE
megasupersurvey.com,89888,89888,10,0.3,1.1,FALSE
gta-gaming.ru,107319,107319,6,0.44,2.7,FALSE
cuentadigital.com,189332,189332,3.3,0.17,1.8,FALSE
lg.tmall.com,296807,296807,2,0.09,2,TRUE
faucet.ly,199731,199731,3,0.17,2.1,FALSE
banq.qc.ca,73231,73231,7.8,1.15,5.4,FALSE
pandawow.ru,101274,101274,4.9,1.06,8.1,FALSE
qiyexinyong.org,262246,262246,2.8,0.08,1,FALSE
foretuned.com,358898,358898,1.7,0.06,1.2,FALSE
virail.com.tr,300016,300016,1.8,0.1,2.1,FALSE
kashiwazaki.lg.jp,339784,339784,1,0.11,3,FALSE
metalmaniax.com,212979,212979,2,0.29,5,FALSE
qiuquan.cc,31973,31973,28,1.3,1.8,FALSE
makinaegitimi.com,350390,350390,1.5,0.08,1.9,FALSE
wizardpuff.myshopify.com,312655,312655,1.1,0.32,10,TRUE
starszz.org,218420,218420,3.3,0.11,1.2,FALSE
tgswappingcaps.blogspot.com,161889,161889,3,0.41,4.9,FALSE
qikan.com,118820,118820,4,0.85,7.8,FALSE
gratis-sexnoveller.dk,189691,189691,2.4,0.38,6,FALSE
asweepingmonk.com,350443,350443,1,0.1,3,FALSE
tabor.ru,8069,8069,91,10.6,4.26,FALSE
todoexcel.com,139112,139112,5,0.24,1.8,FALSE
spbook.com.tw,355857,355857,1.2,0.14,4.3,FALSE
thewilbur.com,296689,296689,2.1,0.08,1.3,FALSE
elcats.ru,11487,11487,55,11.4,7.63,FALSE
drivemeinsane.com,268073,268073,2.1,0.12,2.1,FALSE
fushar.tv,93599,93599,8.5,0.37,1.6,FALSE
dlandroid.com,52464,52464,14,1.08,2.9,FALSE
allegro-inc.com,50457,50457,14,1.1,2.8,FALSE
ipsospollpredictor2.com,89905,89905,5.8,1.09,6.9,FALSE
furoku.org,228533,228533,2.2,0.19,3,FALSE
makmart.ru,183960,183960,2.5,0.37,5.4,TRUE
mediaplayerclassic.ru,286738,286738,2.2,0.08,1.4,FALSE
epic.net,128018,128018,3.2,1.2,14,FALSE
good-win.livejournal.com,256831,256831,2.3,0.11,1.7,FALSE
openpowerlifting.org,358187,358187,1.2,0.12,3.7,FALSE
